Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10UF","C_0805_2012Metric",125.852800,-43.434000,-90.000000,top
"C2","100NF","C_0805_2012Metric",128.102800,-43.434000,-90.000000,top
"C3","100NF","C_0805_2012Metric",130.352800,-43.434000,-90.000000,top
"C4","10UF","C_0805_2012Metric",142.367000,-51.943000,180.000000,top
"C5","100NF","C_0805_2012Metric",141.260500,-107.789251,0.000000,top
"C6","100NF","C_0805_2012Metric",141.260500,-110.039251,0.000000,top
"C7","10UF","C_0805_2012Metric",131.323000,-100.855000,90.000000,top
"C8","10UF","C_0805_2012Metric",131.340126,-104.630000,-90.000000,top
"C9","2.2NF","C_0805_2012Metric",156.410500,-101.887000,-90.000000,top
"C10","2.2NF","C_0805_2012Metric",163.160500,-101.887000,-90.000000,top
"C11","10UF","C_0805_2012Metric",158.660500,-101.887000,90.000000,top
"C12","10UF","C_0805_2012Metric",160.910500,-101.887000,90.000000,top
"C13","100NF","C_0805_2012Metric",151.810500,-107.789251,180.000000,top
"C14","100NF","C_0805_2012Metric",151.760500,-110.039251,180.000000,top
"C15","10UF","C_0805_2012Metric",133.610500,-114.554000,90.000000,top
"C16","10UF","C_0805_2012Metric",131.260500,-108.789251,-90.000000,top
"C17","100NF","C_0805_2012Metric",132.969000,-86.106000,-90.000000,top
"D1","1N5817","D_SOD-123",133.781800,-44.069000,90.000000,top
"D2","1N4148","D_SOD-123",117.729000,-86.868000,-90.000000,top
"D3","1N4007","D_SOD-123F",115.951000,-113.919000,90.000000,top
"D4","1N4007","D_SOD-123F",116.010500,-104.289251,90.000000,top
"J2","AUDIO_IN_TRS","NEUTRIK_NMJ6HCD2",125.400000,-125.950064,180.000000,top
"J4","AUDIO_OUT_TRS","NEUTRIK_NMJ6HCD2",158.600000,-125.973000,0.000000,top
"J5","EXPRESSION JACK","NEUTRIK_NMJ6HCD2",158.623000,-56.515000,0.000000,top
"J6","Conn_01x20_Socket","PinSocket1x20_P2.54mm_Vertical_JLCPCB",138.430000,-80.899000,0.000000,top
"J7","Conn_01x20_Socket","PinSocket1x20_P2.54mm_Vertical_JLCPCB",138.410000,-96.149000,180.000000,top
"J9","MIDI IN JACK","NEUTRIK_NMJ6HCD2",125.349000,-56.515000,180.000000,top
"K1","G6K-2","Relay_DPDT_Omron_G6K-2G-Y",122.760500,-102.539251,90.000000,top
"K2","G6K-2","Relay_DPDT_Omron_G6K-2G-Y",122.692000,-112.339000,90.000000,top
"Q1","SS8050","SOT-23-3",115.148000,-108.489251,0.000000,top
"R1","2M","R_0805_2012Metric",129.113000,-100.855000,90.000000,top
"R2","2M","R_0805_2012Metric",129.090126,-104.630000,-90.000000,top
"R3","100K","R_0805_2012Metric",138.010500,-108.789251,90.000000,top
"R4","2M","R_0805_2012Metric",133.613000,-100.855000,90.000000,top
"R5","2M","R_0805_2012Metric",133.590126,-104.630000,-90.000000,top
"R6","100K","R_0805_2012Metric",135.760500,-108.789251,-90.000000,top
"R7","3.3K","R_0805_2012Metric",158.123000,-99.230749,180.000000,top
"R8","3.3K","R_0805_2012Metric",161.623000,-99.230749,0.000000,top
"R9","2M","R_0805_2012Metric",156.410500,-105.437000,90.000000,top
"R10","2M","R_0805_2012Metric",158.660500,-105.449500,-90.000000,top
"R11","2M","R_0805_2012Metric",163.160500,-105.437000,90.000000,top
"R12","2M","R_0805_2012Metric",160.910500,-105.449500,-90.000000,top
"R13","100R","R_0805_2012Metric",135.810500,-114.554000,-90.000000,top
"R14","100R","R_0805_2012Metric",133.510500,-108.789251,90.000000,top
"R15","2M","R_0805_2012Metric",130.210500,-112.539251,180.000000,top
"R16","2M","R_0805_2012Metric",129.010500,-108.789251,90.000000,top
"R17","220R","R_0805_2012Metric",115.443000,-86.233000,-90.000000,top
"R18","2M","R_0805_2012Metric",155.295600,-88.519000,90.000000,top
"R20","470R","R_0805_2012Metric",133.604000,-90.424000,180.000000,top
"R21","1K","R_0805_2012Metric",113.760500,-100.203000,-90.000000,top
"R22","1K","R_0805_2012Metric",157.607000,-114.274600,-90.000000,top
"R23","1K","R_0805_2012Metric",167.132000,-105.664000,-90.000000,top
"R24","1K","R_0805_2012Metric",139.700000,-85.039200,90.000000,top
"R25","1K","R_0805_2012Metric",142.240000,-85.039200,90.000000,top
"SW1","SW_SPDT","SW_Toggle_SPDT_lugs",152.704800,-72.491600,90.000000,top
"SW2","SW_SPDT","SW_Toggle_SPDT_lugs",131.267200,-72.491600,90.000000,top
"SW3","SW_SPDT","SW_Toggle_SPDT_lugs",142.036800,-124.968000,90.000000,top
"U1","LD1117S50TR_SOT223","SOT-223-3_TabPin2",142.036800,-45.974000,-90.000000,top
"U2","MCP6004","SOIC-14_3.9x8.7mm_P1.27mm",139.573000,-102.805000,90.000000,top
"U3","OPA1652AID","SOIC-8_3.9x4.9mm_P1.27mm",151.010500,-102.789251,-90.000000,top
"U4","H11L1","SOP-6_2.54mm",125.402000,-87.884000,-90.000000,top
"U5","CPC1018N","SOP-4_3.8x4.1mm_P2.54mm",160.909000,-112.198600,90.000000,top
"U6","CPC1018N","SOP-4_3.8x4.1mm_P2.54mm",165.862000,-112.242600,90.000000,top
"U7","MCP6002","SOIC-8_3.9x4.9mm_P1.27mm",150.297600,-87.629000,0.000000,top
